,Intensity
402.669,6.6733524617067825
402.882,6.610884354485776
403.095,6.73870886214442
403.309,6.733114223194748
403.522,6.7607276805251635
403.735,6.763337527352297
403.948,6.762352844638949
404.161,6.934964496717724
404.375,7.0046847921225375
404.588,6.995203993435448
404.801,7.0102168490153165
405.014,6.980374945295404
405.227,7.08328840262582
405.44,7.153322866520787
405.653,7.137433260393872
405.866,7.108848085339168
406.079,7.099232002188184
406.293,7.094604266958424
406.506,7.121644693654266
406.719,7.084864059080962
406.932,7.079793873085338
407.145,7.0154187636761485
407.358,7.151914442013129
407.571,7.12572067833698
407.784,7.162761269146607
407.996,7.205995514223194
408.209,7.1593488512035
408.422,7.124338129102844
408.635,7.170198140043764
408.848,7.151377680525163
409.061,7.109691739606125
409.274,7.113397647702406
409.487,7.100635229759299
409.7,7.149367231947483
409.912,7.2006503829321655
410.125,7.2149050875273515
410.338,7.218327899343544
410.551,7.2702311816192555
410.764,7.28997056892779
410.976,7.314956291028446
411.189,7.331108698030635
411.402,7.290524343544857
411.615,7.329088129102844
411.827,7.345547210065645
412.04,7.375730251641138
412.253,7.373843052516411
412.465,7.352487636761487
412.678,7.326529923413566
412.891,7.4036879102844635
413.103,7.278265371991246
413.316,7.267174999999999
413.529,7.326950711159737
413.741,7.37109157549234
413.954,7.431387910284463
414.166,7.475021991247265
414.379,7.46360295404814
414.591,7.5862844091903705
414.804,7.558830251641138
415.016,7.5282559080962805
415.229,7.492697100656454
415.441,7.43887056892779
415.654,7.484049890590808
415.866,7.492345842450765
416.079,7.5137600656455135
416.291,7.526790481400438
416.504,7.609130798687088
416.716,7.649043599562363
416.928,7.693179157549233
417.141,7.648037582056891
417.353,7.681168818380744
417.566,7.606308588621443
417.778,7.6377402625820565
417.99,7.524728063457331
418.203,7.471838347921225
418.415,7.467246334792122
418.627,7.508879321663019
418.839,7.505198577680525
419.052,7.616134628008751
419.264,7.623418216630197
419.476,7.686011597374178
419.688,7.753541466083151
419.901,7.770581291028447
420.113,7.740528118161925
420.325,7.729169529540481
420.537,7.64698818380744
420.749,7.677207330415754
420.961,7.692354595185995
421.174,7.660549288840262
421.386,7.635852625820569
421.598,7.634511542669583
421.81,7.621388840262581
422.022,7.629767122538293
422.234,7.632139824945296
422.446,7.602880525164113
422.658,7.617482768052516
422.87,7.640344365426695
423.082,7.642199726477024
423.294,7.646750054704595
423.506,7.679434628008752
423.718,7.655672702407001
423.93,7.629954431072209
424.142,7.599034026258205
424.354,7.577412199124726
424.566,7.570450492341356
424.778,7.575527954048139
424.99,7.553592286652078
425.202,7.530413183807439
425.414,7.557083205689278
425.625,7.607801203501094
425.837,7.5717949124726465
426.049,7.606679485776804
426.261,7.581670295404813
426.473,7.542326203501093
426.684,7.562661323851203
426.896,7.593365864332603
427.108,7.542792122538293
427.32,7.5974584792122535
427.531,7.552208369803063
427.743,7.552090262582056
427.955,7.629276750547046
428.167,7.5878894967177235
428.378,7.555771553610502
428.59,7.562363840262582
428.802,7.531409682713347
429.013,7.521650437636761
429.225,7.500433260393873
429.436,7.4458134573304156
429.648,7.470977352297592
429.86,7.47492396061269
430.071,7.47639841356674
430.283,7.47704578774617
430.494,7.454746717724288
430.706,7.459883752735228
430.917,7.440071006564551
431.129,7.424161269146608
431.34,7.387243490153172
431.552,7.390560831509846
431.763,7.361204266958424
431.975,7.39357795404814
432.186,7.348667013129102
432.398,7.337710503282275
432.609,7.268593326039387
432.821,7.270885995623632
433.032,7.238592396061268
433.243,7.218799234135667
433.455,7.190158752735229
433.666,7.201454868708971
433.877,7.2215840809628
434.089,7.2070677789934345
434.3,7.167180087527351
434.511,7.112068599562362
434.723,7.093137527352297
434.934,7.043630525164113
435.145,6.982501531728665
435.356,6.914928555798686
435.568,6.909514824945296
435.779,6.876903008752735
435.99,6.847146772428884
436.201,6.817400984682713
436.412,6.794314879649891
436.624,6.8141396608315095
436.835,6.823578938730852
437.046,6.832781181619255
437.257,6.822651914660831
437.468,6.859626586433261
437.679,6.867086816192559
437.89,6.862060229759299
438.101,6.846268599562362
438.312,6.820334518599562
438.523,6.783213512035011
438.734,6.761125711159737
438.945,6.7220061269146605
439.156,6.666646225382932
439.367,6.654134956236323
439.578,6.639277735229758
439.789,6.591680634573304
440.0,6.572695021881837
440.211,6.537309135667395
440.422,6.512744693654266
440.633,6.51656192560175
440.844,6.4650954595186
441.055,6.423147428884026
441.266,6.42301340262582
441.477,6.3779783916849
441.687,6.358676258205689
441.898,6.331351203501093
442.109,6.278473687089715
442.32,6.255827844638949
442.531,6.206427571115974
442.741,6.135441849015317
442.952,6.104990645514222
443.163,6.080862308533917
443.374,6.0378947483588625
443.584,6.007615371991246
443.795,5.982401094091903
444.006,5.964472100656454
444.216,5.946682603938731
444.427,5.906141958424508
444.638,5.863218490153172
444.848,5.829088566739605
445.059,5.799145514223193
445.27,5.762242231947483
445.48,5.719794146608315
445.691,5.6940030634573295
445.901,5.673522592997811
446.112,5.64617215536105
446.323,5.606329102844639
446.533,5.571262253829321
446.744,5.528869912472647
446.954,5.491983588621444
447.165,5.45328692560175
447.375,5.424911050328227
447.586,5.398536870897154
447.796,5.375078008752734
448.006,5.343218216630196
448.217,5.32331898249453
448.427,5.295084682713347
448.638,5.258255306345733
448.848,5.210602899343544
449.058,5.167877571115973
449.269,5.132752352297592
449.479,5.097611378555798
449.689,5.0578778446389485
449.9,5.0253173960612685
450.11,4.991633643326039
450.32,4.972563457330415
450.531,4.934017888402625
450.741,4.896466466083151
450.951,4.863642231947483
451.161,4.826978665207877
451.372,4.793433041575492
451.582,4.78302795404814
451.792,4.739398249452954
452.002,4.708571553610503
452.212,4.670012636761487
452.422,4.63639589715536
452.633,4.601174890590809
452.843,4.573335722100656
453.053,4.514877899343545
453.263,4.486122319474836
453.473,4.45054589715536
453.683,4.423647757111596
453.893,4.38609272428884
454.103,4.360907002188184
454.313,4.32383987964989
454.523,4.295361870897155
454.733,4.262126695842451
454.943,4.236646498905908
455.153,4.2081980306345725
455.363,4.177901914660831
455.573,4.147062746170677
455.783,4.1192516958424505
455.993,4.088449617067833
456.203,4.062253610503283
456.413,4.029289277899343
456.623,3.9940154814004374
456.833,3.971110229759299
457.042,3.936676750547046
457.252,3.905171225382932
457.462,3.8743105032822753
457.672,3.842144256017505
457.882,3.8131800875273516
458.091,3.7831221006564544
458.301,3.7473039387308527
458.511,3.717821280087527
458.721,3.687472538293216
458.931,3.658984245076586
459.14,3.631541192560175
459.35,3.6073557986870894
459.56,3.5833855579868708
459.769,3.559980470459518
459.979,3.529995951859956
460.189,3.503553610503282
460.398,3.47436181619256
460.608,3.4482213347921227
460.817,3.419116083150984
461.027,3.3913474835886213
461.237,3.3629236323851197
461.446,3.338162363238512
461.656,3.3159972647702403
461.865,3.2910457330415754
462.075,3.265066520787746
462.284,3.241340919037199
462.494,3.2153350109409184
462.703,3.1875573304157547
462.913,3.165072975929978
463.122,3.138033916849015
463.332,3.1135823851203503
463.541,3.0917614332603938
463.751,3.0667926695842445
