,0
951,146.1260223808328
952,143.15272104310492
953,144.3991740457822
954,144.1251620858281
955,142.83074149037319
956,141.89525322413704
957,141.56415595438685
958,141.25226088278913
959,139.98384688659192
960,139.70951062735944
961,139.61786168298624
962,139.2841736216401
963,137.37793756029632
964,137.58783662223806
965,137.68988341409505
966,136.79365540285278
967,137.15706574290604
968,135.80675018403699
969,136.0066719323347
970,133.8625522456429
971,134.60299602841212
972,134.20413521807035
973,135.3846221077773
974,133.47690129397816
975,133.24493485417102
976,132.24447121900553
977,132.21455679828517
978,130.61614442174366
979,130.31462514887136
980,130.41428827115348
981,130.14789899088063
982,129.72487729688294
983,129.68306653876363
984,128.6341328232431
985,128.60838493771575
986,128.61223882798427
987,126.5457633319917
988,126.85057226591773
989,127.75234907865595
990,125.4840052686803
991,126.03541905711526
992,127.13483379703769
993,125.23819337337709
994,123.82665337361902
995,123.48372365807684
996,123.80547483746696
997,126.10112116013183
998,120.63556031375643
999,122.79196268506927
1000,122.44062200532562
